Date,Repo_Rate,Interest_Rate,Market_Rate,VIX,Treasury_10Y,Deposits,Withdrawals,Loans_Given,Loan_Repayment,HQLA,ASF,RSF,Total_Deposits_Pool,Total_Loans_Pool,LCR,NSFR,Net_Cash_Flow,Cumulative_Net_Cash_Flow,NLP,Crisis_Phase,Crisis_Name,Sentiment,News_Headline,Predicted_Survival_Days
2019-01-25,2.407542,4.11353,2.616838,18.13,2.6811,750898.42,256957.27,152276.87,146659.02,21887419.78,122407958.46,63143048.69,102293293.77,69556182.34,213.9673,193.8582,488323.3,2737111.44,22737111.44,normal,,0.263073,,287.0
2019-01-28,2.378207,4.441945,2.083187,17.86,2.6944,364785.26,146079.09,257734.16,163236.7,21930497.94,122637599.94,63232152.93,102511999.95,69650679.8,213.931,193.9482,124208.71,2861320.15,22861320.15,normal,,0.713073,"Fed signals potential rate cuts, markets rally",286.0
2019-01-29,2.366105,4.588788,2.18533,17.76,2.6723,817461.75,92147.66,273919.63,138987.3,22419516.25,123399179.74,63358660.2,103237314.03,69785612.13,217.1649,194.7629,590381.76,3451701.91,23451701.91,normal,,0.606112,,285.0
2019-01-30,2.435176,4.017114,2.131156,17.65,2.7182,879944.38,125800.71,138064.89,190694.44,23125031.26,124191030.6,63316356.52,103991457.71,69732982.58,222.3743,196.1437,806773.23,4258475.13,24258475.13,normal,,0.515196,,284.0
2019-01-31,2.394581,4.59698,2.553483,17.4,2.6846,865316.18,325221.17,179849.93,265558.19,23568045.76,124758130.36,63248358.51,104531552.72,69647274.31,225.4635,197.2512,625803.28,4884278.41,24884278.41,normal,,0.437916,,283.0
2019-02-01,2.401621,4.015267,1.905539,17.15,2.6152,857654.86,196956.38,241754.04,113529.19,23955428.6,125451863.77,63371015.41,105192251.21,69775499.16,227.73,197.9641,532473.64,5416752.05,25416752.05,normal,,0.372229,,282.0
2019-02-04,2.365806,4.150481,2.241777,16.6,2.6806,837028.26,353141.08,267405.71,193579.23,24184228.26,125959945.31,63446522.3,105676138.39,69849325.64,228.8523,198.5293,410060.7,5826812.75,25826812.75,normal,,0.316394,,281.0
2019-02-05,2.386935,3.989267,2.297434,16.59,2.6617,679287.07,306917.35,120478.27,107922.27,24365920.35,126350933.52,63466728.78,106048508.11,69861881.63,229.762,199.0822,359813.73,6186626.48,26186626.48,normal,,0.268935,,280.0
2019-02-06,2.402662,4.778595,2.685822,16.25,2.6448,754681.41,352683.29,272407.38,186247.34,24492125.06,126773031.55,63553754.48,106450506.24,69948041.67,230.0799,199.4737,315838.08,6502464.57,26502464.57,normal,,0.228595,,279.0
2019-02-07,2.372376,4.818563,2.452148,15.79,2.6545,344309.84,330345.43,207603.82,214231.89,24344691.96,126787694.18,63556190.5,106464470.65,69941413.6,228.6649,199.4891,20592.48,6523057.05,26523057.05,normal,,0.194306,,278.0
2019-02-08,2.409017,4.745096,2.063803,16.18,2.6897,521938.51,197057.71,118225.14,137670.37,24505741.44,127128819.02,63547853.62,106789351.45,69921968.38,229.4774,200.0521,344326.02,6867383.07,26867383.07,normal,,0.16516,,277.0
2019-02-11,2.385585,4.374536,2.292993,15.77,2.7195,395844.63,267851.42,183911.66,149399.43,24448656.98,127263211.89,63586442.9,106917344.66,69956480.6,228.6688,200.1421,93480.99,6960864.06,26960864.06,normal,,0.140386,,276.0
2019-02-12,2.392999,4.729439,2.404938,15.11,2.6913,724816.52,209020.94,135521.76,114173.5,24756954.89,127804797.26,63614963.79,107433140.25,69977828.85,230.4406,200.9037,494447.33,7455311.39,27455311.39,normal,,0.119328,,275.0
2019-02-13,2.385559,4.204376,2.479055,15.16,2.6657,535456.12,348520.68,142282.82,139551.59,24774065.79,128001079.47,63625776.57,107620075.69,69980560.09,230.1993,201.178,184204.21,7639515.6,27639515.6,normal,,0.191328,Banks pass annual Fed stress tests with strong buffers,274.0
2019-02-14,2.444455,4.080081,2.090083,15.25,2.6932,361817.33,219644.94,311740.25,108816.59,24537043.31,128150360.48,63817221.43,107762248.08,70183483.75,227.6961,200.8084,-60751.27,7578764.33,27578764.33,normal,,0.162629,,273.0
2019-02-15,2.399676,4.055528,2.143119,15.31,2.6677,426937.98,550939.55,272779.93,269764.46,24287024.77,128020158.83,63826085.42,107638246.51,70186499.21,225.6356,200.5765,-127017.03,7451747.3,27451747.3,normal,,-0.187371,FDIC: unrealized bank losses hit $620B,272.0
2019-02-18,2.375675,4.52593,1.966094,14.98,2.6497,495710.82,344792.32,121707.19,228681.66,24413961.92,128178623.26,63736356.19,107789165.01,70079524.74,226.4974,201.1075,257892.97,7709640.27,27709640.27,normal,,-0.159266,,271.0
2019-02-19,2.421181,3.972406,2.417697,14.86,2.6335,550793.51,359553.06,177950.97,175594.83,24448228.4,128379425.74,63746207.6,107980405.46,70081880.88,226.4136,201.3915,188884.31,7898524.58,27898524.58,normal,,-0.135376,,270.0
2019-02-20,2.372464,4.245817,2.023874,14.94,2.6138,243162.43,414515.18,181439.01,240528.04,24185151.58,128199505.35,63700568.13,107809052.72,70022791.85,224.3332,201.2533,-112263.72,7786260.86,27786260.86,normal,,-0.115069,,269.0
2019-02-21,2.40716,4.012965,2.535367,15.16,2.6461,515178.95,536562.67,146838.5,169231.42,24030113.62,128177052.45,63688216.87,107787669.0,70000398.94,222.9394,201.2571,1009.2,7787270.07,27787270.07,normal,,-0.097809,,268.0
2019-02-22,2.355419,4.029917,2.234122,14.85,2.6567,250781.67,643917.6,272812.63,173292.73,23429057.52,127764259.73,63783204.78,107394533.07,70099918.83,218.1588,200.3102,-492655.82,7294614.24,27294614.24,normal,,-0.083138,,267.0
2019-02-25,2.371648,4.765621,2.79144,14.81,2.6382,547701.44,495252.28,244101.1,257060.17,23414337.37,127819331.35,63775548.04,107446982.24,70086959.76,217.9153,200.4206,65408.23,7360022.48,27360022.48,normal,,-0.070667,,266.0
2019-02-26,2.408661,4.628772,1.994797,14.85,2.6258,245486.67,450261.77,262946.67,237757.19,23103970.48,127604317.49,63802238.69,107242207.13,70112149.24,215.4373,199.9997,-229964.59,7130057.89,27130057.89,normal,,-0.060067,,265.0
2019-02-27,2.422041,4.471917,2.541623,14.77,2.608,259762.01,392407.16,177098.79,108337.48,22814755.17,127465040.07,63868514.31,107109561.97,70180910.55,213.0039,199.5741,-201406.47,6928651.42,26928651.42,normal,,-0.385067,Interbank overnight rates spike 150bp,264.0
2019-02-28,2.408764,4.890185,2.00614,14.93,2.6449,342655.65,709385.97,151177.52,126410.18,22360092.31,127079973.24,63893963.18,106742831.65,70205677.9,209.4763,198.892,-391497.67,6537153.75,26537153.75,normal,,-0.327307,,263.0
2019-03-01,2.402219,4.45163,2.493085,15.14,2.5904,252718.63,585759.98,179031.34,268251.08,22101301.25,126730279.81,63814413.89,106409790.3,70116458.16,207.6999,198.5919,-243821.61,6293332.14,26293332.14,normal,,-0.278211,,262.0
2019-03-04,2.398827,4.461482,2.661014,14.93,2.6335,383000.73,385932.04,181550.57,253064.41,22136297.63,126727201.93,63751730.74,106406858.98,70044944.32,208.0345,198.7824,68582.52,6361914.66,26361914.66,normal,,-0.236479,,261.0
2019-03-05,2.370849,4.302965,2.83744,14.83,2.5831,421999.36,353067.21,224646.26,257016.47,22180330.82,126799580.69,63725461.01,106475791.13,70012574.11,208.3134,198.9779,101302.36,6463217.02,26463217.02,normal,,-0.201007,,260.0
2019-03-06,2.389461,4.770711,2.239647,14.82,2.5858,343863.57,315842.24,186947.64,271596.7,22261240.73,126829003.08,63650864.88,106503812.46,69927925.05,209.0183,199.2573,112670.39,6575887.41,26575887.41,normal,,-0.170856,,259.0
2019-03-07,2.396055,4.381321,2.673964,14.62,2.5633,217217.03,560779.69,170576.26,241762.45,21938965.13,126468262.29,63589292.27,106160249.8,69856738.87,206.6589,198.883,-272376.47,6303510.93,26303510.93,normal,,-0.145228,,258.0
2019-03-08,2.43295,4.457205,2.603678,14.98,2.5845,335933.17,429308.75,183348.43,168938.13,21787525.09,126370217.93,63604444.24,106066874.22,69871149.16,205.4131,198.6814,-107785.88,6195725.05,26195725.05,normal,,-0.123444,,257.0
2019-03-11,2.416848,4.564568,1.946147,14.82,2.6109,298953.12,353104.74,299850.2,231192.2,21664300.78,126313358.72,63666257.17,106012722.6,69939807.15,204.3557,198.3992,-122809.61,6072915.44,26072915.44,normal,,-0.104927,,256.0
2019-03-12,2.366458,3.919168,1.904024,14.79,2.5951,441873.24,443003.82,219017.1,167754.79,21572343.4,126312171.61,63714371.48,106011592.01,69991069.46,203.4904,198.2475,-52392.89,6020522.55,26020522.55,normal,,-0.089188,,255.0
2019-03-13,2.417094,4.08533,2.107029,15.29,2.6031,480235.42,455798.33,210895.61,147527.97,21464500.12,126337830.56,63774847.99,106036029.1,70054437.1,202.4265,198.0998,-38930.55,5981592.0,25981592.0,normal,,-0.089188,No major economic releases — markets steady,254.0
2019-03-14,2.400364,4.318072,1.973449,14.85,2.5874,385397.9,347333.58,156400.54,218086.06,21569388.13,126377798.1,63719074.12,106074093.43,69992751.59,203.3427,198.3359,99749.83,6081341.84,26081341.84,normal,,-0.07581,,253.0
2019-03-15,2.393686,4.411892,1.931215,14.69,2.5416,314318.57,621891.5,229517.29,229180.26,21266375.68,126054846.53,63719132.57,105766520.5,69993088.63,201.0691,197.8289,-307909.96,5773431.88,25773431.88,normal,,-0.064438,,252.0
2019-03-18,2.425715,3.990614,2.391441,14.57,2.5576,437702.83,591118.31,306211.32,199577.01,21012006.94,125893760.27,63814819.4,105613105.02,70099722.94,198.9526,197.2798,-260049.8,5513382.08,25513382.08,normal,,-0.054773,,251.0
2019-03-19,2.436151,4.100421,2.43987,14.75,2.5448,305237.42,408690.88,198885.25,207170.06,20933452.8,125785134.14,63806532.35,105509651.56,70091438.13,198.4032,197.1352,-95168.65,5418213.43,25418213.43,normal,,-0.046557,,250.0
2019-03-20,2.434072,4.464124,1.961913,14.54,2.5977,552011.46,481237.92,174352.06,269067.54,21104704.21,125859446.36,63721000.29,105580425.1,69996722.64,199.8922,197.5164,165489.03,5583702.46,25583702.46,normal,,-0.039573,,249.0
2019-03-21,2.391694,4.171461,2.456647,14.26,2.5316,311989.85,399614.63,235184.54,202509.59,21006481.04,125767440.33,63749303.92,105492800.31,70029397.59,199.1272,197.2844,-120299.74,5463402.72,25463402.72,normal,,-0.033637,,248.0
2019-03-22,2.404799,4.234329,2.345402,14.55,2.5839,246844.52,379644.29,260206.86,226440.21,20846510.18,125628000.57,63779364.13,105360000.54,70063164.25,197.8598,196.9728,-166566.42,5296836.3,25296836.3,normal,,-0.028592,,247.0
2019-03-25,2.42122,3.980982,2.809819,14.16,2.5799,571374.89,481339.9,287217.85,140741.33,20766209.99,125722537.32,63912385.93,105450035.54,70209640.77,196.9294,196.7108,-56441.53,5240394.77,25240394.77,normal,,-0.024303,,246.0
2019-03-26,2.437094,4.793666,2.333148,14.46,2.6026,350714.66,338738.6,210339.64,270428.26,20848094.71,125735112.18,63857815.17,105462011.6,70149552.15,197.6835,196.8986,72064.69,5312459.46,25312459.46,normal,,-0.020657,,245.0
2019-03-27,2.402304,4.664239,2.40742,14.29,2.5441,313920.6,358532.37,184279.49,265764.42,20886040.54,125688269.83,63784425.1,105417399.84,70068067.22,198.1271,197.0517,36873.16,5349332.62,25349332.62,normal,,0.039343,Consumer spending rises 3.2%,244.0
2019-03-28,2.409711,4.857277,2.67656,14.02,2.5714,664214.99,375243.07,116088.58,151044.74,21181528.98,125991690.35,63754386.54,105706371.76,70033111.06,200.3808,197.6204,323928.08,5673260.69,25673260.69,normal,,0.033441,,243.0
2019-03-29,2.387803,4.402996,2.662456,14.21,2.6102,342140.25,424027.88,254891.84,269851.4,21108796.18,125905708.33,63741213.18,105624484.12,70018151.5,199.8476,197.5264,-66928.07,5606332.62,25606332.62,normal,,0.028425,,242.0
2019-04-01,2.38659,3.907627,2.609429,13.88,2.5323,472088.15,411617.8,128190.14,127107.04,21129929.4,125969202.2,63744100.67,105684954.47,70019234.6,199.9332,197.617,59387.25,5665719.87,25665719.87,normal,,0.024161,,241.0
2019-04-02,2.435436,3.999037,2.487123,13.93,2.5077,235969.96,429038.26,216466.12,274618.01,21002969.16,125766480.48,63691366.16,105491886.17,69961082.71,199.0956,197.4624,-134916.42,5530803.45,25530803.45,normal,,0.020537,,240.0
2019-04-03,2.448898,4.354612,1.98998,13.82,2.4976,591423.63,577464.43,193350.22,160962.74,20999382.24,125781137.63,63719772.82,105505845.36,69993470.19,199.0352,197.3973,-18428.28,5512375.17,25512375.17,normal,,0.017456,,239.0
2019-04-04,2.414712,4.182759,2.726177,13.59,2.5623,372738.49,308929.15,246819.31,271013.05,21063213.43,125848137.44,63699207.04,105569654.7,69969276.45,199.5196,197.5663,88003.08,5600378.25,25600378.25,normal,,0.014838,,238.0
2019-04-05,2.441027,4.588547,2.909972,13.56,2.495,243921.68,410860.79,118694.59,268337.95,21068922.16,125672851.37,63563377.8,105402715.59,69819633.1,199.8897,197.7127,-17295.76,5583082.49,25583082.49,normal,,0.012612,,237.0
2019-04-08,2.426485,4.053358,2.518979,13.62,2.5296,531313.22,554139.85,211368.74,125162.94,20974567.26,125648883.4,63640229.15,105379888.96,69905838.9,199.0377,197.4363,-109032.43,5474050.06,25474050.06,normal,,0.01072,,236.0
2019-04-09,2.402465,4.286074,2.326837,13.38,2.5488,429217.35,442859.48,106055.26,138909.98,21011295.11,125634559.17,63609784.14,105366246.83,69872984.18,199.412,197.5082,19212.6,5493262.66,25493262.66,normal,,0.009112,,235.0
2019-04-10,2.427127,4.144827,2.893149,13.32,2.5411,529852.55,436422.14,165962.67,176571.9,21113902.68,125732661.1,63600307.43,105459677.24,69862374.95,200.2083,197.6919,104039.64,5597302.29,25597302.29,normal,,0.007746,,234.0
2019-04-11,2.45591,4.040676,2.763536,13.19,2.5459,274999.31,350991.63,109224.12,143528.67,21065745.91,125652869.16,63569756.79,105383684.92,69828070.4,199.8957,197.6614,-41687.78,5555614.52,25555614.52,normal,,0.006584,,233.0
2019-04-12,2.418166,4.701014,2.763676,13.32,2.5395,553480.86,553282.18,281508.29,224004.18,21011472.03,125653077.78,63621358.91,105383883.6,69885574.5,199.3803,197.5014,-57305.42,5498309.09,25498309.09,normal,,0.005596,,232.0
2019-04-15,2.457864,4.169663,2.750404,13.37,2.5624,564938.48,402204.58,152114.51,252519.29,21256886.19,125823948.37,63531880.83,105546617.5,69785169.72,201.3981,198.0485,263138.68,5761447.78,25761447.78,normal,,0.004757,,231.0
2019-04-16,2.355628,4.220995,2.697244,13.07,2.5013,298949.33,238174.87,312586.11,109007.44,21099270.94,125887761.56,63715842.19,105607391.96,69988748.4,199.7897,197.5769,-142804.21,5618643.56,25618643.56,normal,,0.004043,,230.0
2019-04-17,2.437874,4.826146,2.397816,13.32,2.5036,458938.74,550454.35,296836.31,106575.05,20847785.62,125791670.17,63885562.75,105515876.35,70179009.66,197.5796,196.9016,-281776.87,5336866.69,25336866.69,normal,,0.003437,,229.0
2019-04-18,2.419104,4.187703,2.41393,13.61,2.4966,481022.66,283851.6,271542.21,274983.84,21028341.81,125998699.79,63883468.11,105713047.42,70175568.03,198.9191,197.2321,200612.69,5537479.38,25537479.38,normal,,0.002921,,228.0
2019-04-19,2.408776,4.49443,1.917272,13.52,2.5322,255035.67,423237.05,209125.7,130603.13,20800549.69,125822088.34,63953191.83,105544846.03,70254090.61,197.0778,196.7409,-246723.96,5290755.43,25290755.43,normal,,0.002483,,227.0
2019-04-22,2.415214,4.670147,2.870389,13.91,2.5198,547487.29,480137.9,180333.2,114678.55,20775096.99,125892805.19,64013638.39,105612195.42,70319745.26,196.7112,196.6656,1694.74,5292450.17,25292450.17,normal,,0.002111,,226.0
2019-04-23,2.36406,4.561073,2.424176,13.81,2.5039,321423.77,334831.97,142685.16,206904.62,20831965.73,125878726.58,63955538.0,105598787.22,70255525.79,197.2747,196.8222,50811.26,5343261.43,25343261.43,normal,,0.001794,,225.0
2019-04-24,2.405704,4.786962,1.983583,14.12,2.5174,384773.13,371037.76,221281.72,106413.36,20729559.48,125893148.71,64058983.19,105612522.58,70370394.16,196.2794,196.5269,-101133.0,5242128.42,25242128.42,normal,,0.001525,,224.0
2019-04-25,2.418606,4.587761,2.32891,14.14,2.4541,523715.33,558179.61,160516.21,170734.66,20717796.56,125856961.21,64049162.44,105578058.3,70360175.71,196.232,196.5006,-24245.83,5217882.59,25217882.59,normal,,0.001296,,223.0
2019-04-26,2.444602,4.398561,2.246265,14.41,2.52,420991.57,232195.69,143759.42,244591.95,21019213.84,126055196.89,63957823.72,105766854.18,70259343.17,198.7316,197.0911,289628.41,5507511.01,25507511.01,normal,,0.001102,,222.0
2019-04-29,2.39353,4.475119,2.427011,14.77,2.5022,383892.27,534353.94,260739.63,153220.77,20783950.35,125897212.13,64053454.84,105616392.5,70366862.04,196.7872,196.5502,-257980.54,5249530.46,25249530.46,normal,,0.000936,,221.0
2019-04-30,2.385556,4.002304,2.014621,15.08,2.4781,475087.07,351062.59,272555.41,197605.32,20845537.11,126027437.83,64120284.3,105740416.98,70441812.13,197.1388,196.5485,49074.39,5298604.85,25298604.85,normal,,0.000796,,220.0
2019-05-01,2.391938,4.091607,2.263209,14.89,2.4991,449926.29,565018.22,168717.58,258792.86,20841260.78,125906591.31,64038179.53,105625325.06,70351736.85,197.3131,196.6118,-25016.64,5273588.21,25273588.21,normal,,0.000677,,219.0
2019-05-02,2.424997,4.465824,2.743358,14.96,2.4101,434097.23,485381.37,127710.28,176999.06,20842449.3,125852742.96,63993660.43,105574040.92,70302448.06,197.4202,196.6644,-1995.36,5271592.85,25271592.85,normal,,0.000575,,218.0
2019-05-03,2.409897,4.575662,2.434569,15.05,2.4332,290788.9,516136.73,248432.58,203151.37,20569602.29,125616127.74,64034524.42,105348693.09,70347729.28,195.2526,196.1694,-270629.04,5000963.81,25000963.81,normal,,0.000489,,217.0
2019-05-06,2.386291,4.336095,2.642647,15.29,2.4141,270330.38,493212.63,292606.26,208821.94,20295094.37,125382101.38,64108322.38,105125810.84,70431513.6,193.0553,195.5785,-306666.57,4694297.24,24694297.24,normal,,-0.449511,Commercial real estate defaults surge 40%,216.0
2019-05-07,2.410308,3.999081,2.775303,15.5,2.4448,343438.37,550937.37,289237.2,152778.0,20015081.41,125164227.43,64227938.4,104918311.84,70567972.8,190.7682,194.8751,-343958.2,4350339.04,24350339.04,normal,,-0.382084,,215.0
2019-05-08,2.399327,4.219895,2.034305,15.51,2.3972,217303.52,386690.48,153081.73,179589.93,19933482.07,124986371.12,64201017.04,104748924.87,70541464.59,190.2977,194.6797,-142878.76,4207460.28,24207460.28,normal,,-0.382084,No major economic releases — markets steady,214.0
2019-05-09,2.419209,4.251209,2.663651,15.69,2.4363,229731.08,565217.48,194559.1,166957.32,19633613.46,124634110.4,64222697.67,104413438.48,70569066.37,188.0372,194.0655,-363088.18,3844372.1,23844372.1,normal,,-0.324772,,213.0
2019-05-10,2.378186,3.941439,2.009895,15.97,2.4464,200670.69,333688.33,174363.53,248350.6,19646415.03,124494441.88,64152517.69,104280420.84,70495079.3,188.3998,194.0601,-59030.57,3785341.54,23785341.54,normal,,-0.276056,,212.0
2019-05-13,2.384162,4.748565,2.193531,15.92,2.416,441477.55,553300.0,155076.69,203606.68,19621207.59,124377028.31,64106936.45,104168598.39,70446549.31,188.3601,194.0149,-63292.46,3722049.08,23722049.08,normal,,-0.234648,,211.0
2019-05-14,2.381625,4.425109,1.954361,16.38,2.4015,404223.06,262666.32,179494.21,167611.68,19820243.55,124525662.88,64114162.64,104310155.12,70458431.83,190.0126,194.2249,129674.21,3851723.29,23851723.29,normal,,-0.19945,,210.0
2019-05-15,2.355022,4.516882,2.210552,16.51,2.3664,453202.52,344797.49,242648.09,247170.31,20012965.43,124639488.16,64106102.91,104418560.16,70453909.61,191.661,194.4269,112927.25,3964650.54,23964650.54,normal,,-0.169533,,209.0
2019-05-16,2.396754,4.27571,2.199521,16.24,2.3595,475052.01,369696.66,220750.44,236971.33,20181426.22,124750111.28,64089159.88,104523915.51,70437688.73,193.0795,194.6509,121576.24,4086226.78,24086226.78,normal,,-0.144103,,208.0
2019-05-17,2.395592,4.719337,2.752621,15.88,2.399,358071.35,580645.15,294980.33,201642.57,19924478.8,124516408.79,64170215.66,104301341.7,70531026.49,191.028,194.0408,-315911.56,3770315.22,23770315.22,normal,,-0.122488,,207.0
2019-05-20,2.388509,4.179706,2.660777,16.01,2.3566,347501.89,271174.99,193090.35,146481.41,19980699.13,124596552.04,64210838.58,104377668.61,70577635.42,191.427,194.0429,29717.96,3800033.18,23800033.18,normal,,-0.104114,,206.0
2019-05-21,2.382462,4.844006,2.689724,16.28,2.3272,222120.66,567531.83,191187.0,211038.41,19698966.4,124233870.3,64190780.97,104032257.43,70557784.02,189.3544,193.5385,-325559.76,3474473.42,23474473.42,normal,,-0.088497,,205.0
2019-05-22,2.353947,4.417111,2.797721,16.03,2.3081,406527.49,293934.61,294732.31,166621.61,19735529.69,124352092.83,64303476.54,104144850.31,70685894.72,189.5008,193.3832,-15517.82,3458955.59,23458955.59,normal,,0.002503,"Labor market adds 300K+ jobs, unemployment at 3.5%",204.0
2019-05-23,2.377377,4.354487,2.871941,15.83,2.2607,213796.79,299218.04,295844.92,136262.25,19576933.74,124262400.52,64442780.54,104059429.07,70845477.38,188.1322,192.8259,-245003.91,3213951.69,23213951.69,normal,,0.002127,,203.0
2019-05-24,2.378916,4.166318,2.436795,15.87,2.2725,499581.37,238493.48,306762.38,178511.87,19771632.76,124536542.81,64555112.92,104320516.97,70973727.9,189.5277,192.9151,132837.38,3346789.07,23346789.07,normal,,0.001808,,202.0
2019-05-27,2.366986,4.866193,2.153832,15.97,2.3094,341113.61,243783.15,103338.74,186232.11,20003553.31,124638739.8,64477924.06,104417847.43,70890834.53,191.5722,193.3045,180223.82,3527012.89,23527012.89,normal,,0.001537,,201.0
2019-05-28,2.381958,4.674799,2.787715,15.88,2.2269,331331.17,271016.18,136914.51,156879.04,20148389.07,124702070.53,64456728.17,104478162.41,70870870.0,192.8479,193.4663,80279.52,3607292.41,23607292.41,normal,,0.001306,,200.0
2019-05-29,2.395122,4.324954,2.18238,15.72,2.2497,626947.84,297685.45,284829.37,164465.61,20366044.33,125047796.04,64564617.72,104807424.8,70991233.76,194.3187,193.6785,208898.63,3816191.04,23816191.04,normal,,0.00111,,199.0
2019-05-30,2.43015,4.41205,2.433283,15.66,2.2577,527309.51,380587.34,307699.12,116202.89,20362988.72,125201854.31,64734878.41,104954146.97,71182730.0,194.018,193.4071,-44774.07,3771416.97,23771416.97,normal,,0.000944,,198.0
2019-05-31,2.389002,4.71489,2.192506,15.62,2.1969,348326.59,483493.45,284828.99,273825.6,20254200.58,125059929.1,64742912.36,104818980.1,71193733.39,193.2303,193.1639,-146170.26,3625246.71,23625246.71,normal,,0.000802,,197.0
2019-06-03,2.390011,4.851622,2.202855,15.42,2.1979,383225.97,329094.51,200164.62,157619.3,20324782.61,125116767.14,64778253.35,104873111.56,71236278.71,193.8036,193.1462,11586.14,3636832.85,23636832.85,normal,,0.000682,,196.0
